csv_row_index,merged_row_index,match_flag,recovered_years_joined,Seller Link,Store Name,Year Joined,Total Products,Rating,Review Count,Followers,Total Revenue,Total Review,1 Start,2 Start,3 Start,4 Start,5 Start
1017,1031,,6,https://tiki.vn/cua-hang/dropson-store?source_screen=product_detail&source_engine=organic,Dropson Store,2020,1,5.0,4,2,0,4.0,0.0,0.0,0.0,0.0,4.0
1018,1032,,5,https://tiki.vn/cua-hang/hong-quang-telecom?source_screen=product_detail&source_engine=organic,Hồng Quang Telecom,2021,11,4.0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0
1019,1033,,7,https://tiki.vn/cua-hang/fornix-ha-noi?source_screen=product_detail&source_engine=organic,FORNIX Hà Nội,2019,9,4.5,2,7,0,,,,,,
1020,1035,,8,https://tiki.vn/cua-hang/thao-duoc-hoang-long?source_screen=product_detail&source_engine=organic,Thảo Dược Hoàng Long,2018,10,4.4,845,85,990000,367.0,31.0,5.0,8.0,67.0,256.0
1021,1036,,4,https://tiki.vn/cua-hang/duoc-pham-cho-lon?source_screen=product_detail&source_engine=organic,Dược phẩm Chợ Lớn,2022,3,4.9,10,0,1867500,10.0,0.0,0.0,0.0,1.0,9.0
1022,1037,,7,https://tiki.vn/cua-hang/do-uong-truyen-thong?source_screen=product_detail&source_engine=organic,Đồ Uống Truyền Thống,2019,3,4.9,79,115,935000,23.0,0.0,0.0,0.0,2.0,21.0
1023,1038,,7,https://tiki.vn/cua-hang/saffron-kingdom-nhuy-hoa-nghe-tay-iran?source_screen=product_detail&source_engine=organic,Kingdom Herb Official,2019,28,4.8,1400,1000,4688000,1202.0,17.0,3.0,14.0,145.0,1023.0
1024,1039,,7,https://tiki.vn/cua-hang/bepnhatoi?source_screen=product_detail&source_engine=organic,Bepnhatoi,2019,220,4.7,67,44,5298000,44.0,1.0,0.0,0.0,6.0,37.0
1025,1040,,7,https://tiki.vn/cua-hang/winelife?source_screen=product_detail&source_engine=organic,winelife,2019,52,4.7,55,48,2190000,52.0,1.0,0.0,1.0,10.0,40.0
1026,1041,,5,https://tiki.vn/cua-hang/shop-tai-trang?source_screen=product_detail&source_engine=organic,Shop Tài Trang,2021,1,4.5,69,0,0,14.0,0.0,1.0,0.0,1.0,12.0
1027,1042,,6,https://tiki.vn/cua-hang/azp-furniture?source_screen=product_detail&source_engine=organic,AZ PRICE FURNITURE,2020,681,4.5,1100,610,342603000,342.0,19.0,14.0,18.0,58.0,233.0
1028,1043,,4,https://tiki.vn/cua-hang/cua-hang-nem-truong-phat?source_screen=product_detail&source_engine=organic,Cửa hàng nệm trường phát,2022,22,4.3,155,41,1685000,77.0,4.0,0.0,2.0,21.0,50.0
1029,1044,,5,https://tiki.vn/cua-hang/sieu-thi-hong-anh?source_screen=product_detail&source_engine=organic,Siêu thị Hồng Anh,2021,60,4.6,561,98,2161000,334.0,0.0,3.0,5.0,56.0,270.0
1030,1805,,4,https://tiki.vn/cua-hang/vinatekgroup?source_screen=product_detail&source_engine=organic,VINATEKGROUP,2022,5,0.0,0,0,0,,,,,,
1031,1046,,7,https://tiki.vn/cua-hang/lugbro-vietnam?source_screen=product_detail&source_engine=organic,Lugbro Vietnam,2019,36,5.0,1,5,0,2.0,0.0,0.0,0.0,0.0,2.0
1032,1047,,6,https://tiki.vn/cua-hang/gia-vi-doispice?source_screen=product_detail&source_engine=organic,Gia vị Doispice,2020,12,4.7,142,88,300000,139.0,2.0,0.0,5.0,21.0,111.0
1033,1048,,6,https://tiki.vn/cua-hang/vuong-phu?source_screen=product_detail&source_engine=organic,Vượng Phú,2020,38,4.6,304,72,809500,277.0,7.0,2.0,11.0,43.0,214.0
1034,1049,,9,https://tiki.vn/cua-hang/nam-xanh?source_screen=product_detail&source_engine=organic,Nam Xanh,2017,24,4.9,137,0,1600000,89.0,1.0,1.0,2.0,8.0,77.0
1035,1050,,6,https://tiki.vn/cua-hang/uslion?source_screen=product_detail&source_engine=organic,USLION,2020,6,4.2,1500,178,880030,244.0,14.0,6.0,19.0,58.0,147.0
