satellite_no2,highway_primary,high_traffic,medium_traffic,low_traffic,landuse_industrial_variance,landuse_industrial_distance_mean,landuse_industrial_b5,landuse_residential_b5,landuse_forest_b5,neighbours_no2_variance,neighbours_no2_distance_mean,neighbours_no2_distance_max
5.03E-05,26106.0599,0.364967459,0.576310539,0.368131223,0,0,0,0,0,1.75E-12,1.02E-06,3.38E-06
5.13E-05,25041.07148,0.412629501,0.607291424,0.404385128,0,0,0,0,0,2.23E-12,2.03E-07,2.32E-06
5.09E-05,23989.77244,0.463061193,0.640502768,0.440639638,0,0,0,0,0,3.08E-12,6.96E-07,2.78E-06
5.13E-05,22959.40916,0.344433254,0.206901907,0.170278855,0,0,0,0,0,4.02E-12,9.86E-07,3.77E-06
5.15E-05,21954.22224,0.285450879,0.191764899,0.135332951,0,0,0,0,0,2.76E-12,1.13E-06,3.89E-06
5.29E-05,20977.20992,0.226835214,0.188370783,0.101267282,0,0,0,0,0,2.68E-12,1.16E-06,-4.80E-06
5.44E-05,20033.21182,0.168957641,0.197322035,0.069297987,0,0,0,0,0,3.98E-12,3.03E-06,-5.94E-06
5.54E-05,19127.47213,0.112911396,0.217106989,0.043716549,0,0,0,0,0,4.08E-12,4.08E-06,-5.29E-06
5.22E-05,18264.15136,0.063369318,0.245131446,0.037948296,0,0,0,0,0,3.41E-12,9.24E-07,-1.13E-06
5.18E-05,17326.27874,0.045814163,0.278935542,0.057695785,0,0,0,0,0,4.64E-12,1.53E-07,2.06E-07
5.04E-05,16347.49648,0.082363245,0.316682152,0.087953298,0,0,0,0,0,7.38E-12,7.16E-07,5.00E-06
4.89E-05,15381.39694,0.135765317,0.357128358,0.121401403,0,0,0,0,0,4.74E-12,1.11E-06,4.15E-06
4.94E-05,14251.33836,0.192803063,0.39945792,0.156067882,0,0,0,0,0,3.92E-12,1.03E-06,3.66E-06
4.71E-05,12991.16126,0.251057028,0.421938305,0.191309245,0,0,0,0,0,2.82E-12,3.61E-06,6.02E-06
4.72E-05,11734.43283,0.294692032,0.436870339,0.226863821,0,0,0,0,0,3.70E-12,3.32E-06,5.91E-06
4.80E-05,10482.39353,0.309379004,0.456556728,0.26260693,0,0,0,0,0,2.92E-12,2.84E-06,5.12E-06
4.94E-05,9236.950348,0.334092027,0.480415105,0.298472023,0,0,0,0,0,4.14E-12,1.34E-06,3.65E-06
4.91E-05,8001.184077,0.366836654,0.507859497,0.334420465,0,0,0,0,0,4.55E-12,1.38E-06,4.05E-06
4.94E-05,6780.387808,0.405695646,0.53834321,0.370428332,0,0,0,0,0.125,3.60E-12,1.25E-06,3.74E-06
4.92E-05,5584.387908,0.449101553,0.571381225,0.406480035,0.071005917,0.076923077,0,0,0.125,1.98E-12,1.47E-06,3.93E-06
4.94E-05,4433.298444,0.49587333,0.606557293,0.442564988,0,0,0,0,0.25,1.47E-12,1.14E-06,3.50E-06
4.95E-05,3185.209812,0.47291699,0.230428442,0.249977645,0,0,0,0,0.125,9.24E-13,1.00E-06,2.93E-06
4.96E-05,1909.437347,0.415009267,0.193824696,0.215738313,0,0,0,0,0.375,1.16E-12,7.53E-07,2.80E-06
4.97E-05,635.1044853,0.357682667,0.16370205,0.18225921,0,0,0,0,0.25,1.88E-12,4.82E-07,2.18E-06
5.03E-05,642.5710672,0.301263836,0.144140635,0.150032738,0,0,0,0,0.375,2.61E-12,5.67E-07,1.57E-06
4.85E-05,1916.21371,0.246365102,0.139605145,0.120029096,0.071005917,0.076923077,0,0,0.25,2.67E-12,9.00E-07,3.45E-06
4.80E-05,2399.550227,0.194247825,0.151438771,0.094278649,0,0,0,0,0.125,2.74E-12,1.43E-06,3.37E-06
4.84E-05,2744.376031,0.147788,0.176403496,0.076882726,0,0,0,0,0.125,3.28E-12,1.29E-06,3.49E-06
4.66E-05,3544.344171,0.113826475,0.209896103,0.073578976,0,0,0,0,0,4.02E-12,3.12E-06,5.73E-06
4.64E-05,4566.198495,0.104680277,0.248511734,0.085912101,0,0,0,0,0,4.23E-12,3.27E-06,5.95E-06
4.65E-05,5691.658729,0.125674158,0.290222631,0.108923743,0,0,0,0.125,0,4.87E-12,3.10E-06,6.65E-06
4.67E-05,6501.755631,0.166040002,0.333875707,0.137542348,0,0,0,0.125,0,5.48E-12,2.82E-06,6.76E-06
4.72E-05,7313.249376,0.215371815,0.363949331,0.169027726,0,0,0,0.125,0,7.65E-12,3.46E-06,8.49E-06
4.85E-05,8238.24314,0.268864155,0.374854878,0.202078083,0,0,0,0,0,8.15E-12,2.62E-06,7.30E-06
4.79E-05,9243.335605,0.324496041,0.391579825,0.2360513,0,0,0,0,0,8.08E-12,3.35E-06,7.91E-06
5.02E-05,10306.11246,0.332697346,0.413420954,0.27060666,0,0,0,0,0,4.88E-12,1.12E-06,5.60E-06
4.99E-05,11394.14631,0.340711319,0.439618872,0.305550071,0,0,0,0,0,3.53E-12,1.39E-06,5.78E-06
5.19E-05,12490.81827,0.358487912,0.469446973,0.340763996,0,0,0,0,0,6.06E-12,7.55E-07,3.97E-06
5.05E-05,13615.43869,0.384692915,0.50226076,0.376173526,0,0,0,0,0,6.91E-12,1.13E-07,5.31E-06
5.13E-05,14763.63601,0.417761401,0.537515171,0.411728834,0,0,0,0,0,7.89E-12,1.70E-06,-5.96E-06
5.13E-05,15930.03578,0.456218992,0.574762403,0.447395573,0,0,0,0,0,1.08E-11,2.94E-06,-8.75E-06
5.05E-05,17110.27153,0.489942871,0.204488838,0.263300975,0,0,0,0,0,2.13E-11,3.89E-06,-9.68E-06
4.94E-05,18302.76927,0.434286012,0.162181721,0.231000279,0,0,0,0,0,2.14E-11,3.86E-06,-1.01E-05
4.62E-05,19505.85428,0.379842731,0.124717572,0.200025216,0,0,0,0,0,1.50E-11,1.27E-06,-6.27E-06
4.14E-05,20717.68223,0.327210462,0.097744818,0.171075676,0,0,0,0,0,1.20E-11,2.55E-06,9.17E-06
4.03E-05,21936.80423,0.277404091,0.090959465,0.145324279,0,0,0,0,0,7.54E-12,3.10E-06,9.13E-06
4.15E-05,23161.06826,0.232211424,0.108176584,0.124686172,0,0,0,0,0,3.38E-12,1.25E-06,4.66E-06
4.16E-05,24390.04733,0.194790457,0.140940166,0.111895067,0,0,0,0,0,1.73E-12,2.30E-08,1.38E-06
4.32E-05,25623.63658,0.170198076,0.1810612,0.109602642,0,0,0,0,0,2.08E-12,1.52E-06,-2.52E-07
4.32E-05,26861.20087,0.164130855,0.224656354,0.118394092,0,0,0,0,0,2.10E-12,4.84E-07,2.11E-07
4.21E-05,28102.21503,0.178437664,0.270057232,0.136218321,0,0,0,0,0,3.88E-12,1.46E-06,4.93E-06
4.14E-05,29346.2414,0.209069245,0.310531398,0.16018148,0,0,0,0,0,4.99E-12,3.02E-06,6.40E-06
4.41E-05,30592.91253,0.25021058,0.315792327,0.188013715,0,0,0,0,0,6.13E-12,1.27E-06,5.59E-06
4.70E-05,31841.91776,0.291256356,0.328294449,0.21827458,0,0,0,0,0,1.04E-11,8.13E-07,3.03E-06
4.76E-05,33092.99281,0.276039094,0.347259775,0.250102207,0,0,0,0,0,1.01E-11,1.32E-06,2.46E-06
4.91E-05,34345.91151,0.273081158,0.371704123,0.282978085,0,0,0,0,0,5.87E-12,1.79E-06,-1.28E-06
5.06E-05,35600.47919,0.282761026,0.400629432,0.316581161,0,0,0,0,0,1.81E-12,3.25E-06,-4.21E-06
4.96E-05,36856.52747,0.303892341,0.433141885,0.350705563,0,0,0,0,0,1.80E-12,2.30E-06,-4.41E-06
4.97E-05,38113.90997,0.334341647,0.468497554,0.385214642,0,0,0,0,0,2.97E-12,1.83E-06,-5.22E-06
4.73E-05,39336.91957,0.371856222,0.506102613,0.420014769,0,0,0,0,0,3.80E-12,9.04E-07,3.56E-06
4.67E-05,40404.6573,0.414544436,0.545493282,0.45503994,0,0,0,0,0,2.69E-12,1.01E-06,3.11E-06
4.83E-05,41484.17095,0.435829264,0.23571298,0.312022453,0,0,0,0,0,3.76E-12,7.45E-07,-7.68E-07
4.78E-05,42574.56476,0.444182586,0.187844547,0.280629508,0,0,0,0,0,2.64E-12,8.15E-07,1.75E-06
4.64E-05,43675.02383,0.460112111,0.140665832,0.250526329,0,0,0,0,0,2.41E-12,3.06E-07,3.09E-06
4.67E-05,44784.8062,0.409486233,0.095192339,0.222225473,0,0,0,0,0,2.21E-12,7.06E-07,2.86E-06
4.63E-05,45903.23565,0.361141888,0.055654868,0.196486782,0,0,0,0,0,2.37E-12,9.28E-07,2.99E-06
4.57E-05,47029.69527,0.316635853,0.042830922,0.17441463,0,0,0,0,0,1.40E-12,1.62E-06,3.85E-06
4.59E-05,48163.62164,0.277787125,0.072302336,0.157507341,0,0,0,0,0,3.90E-12,1.09E-06,3.62E-06
4.51E-05,49304.49957,0.247224929,0.115581998,0.147489467,0,0,0,0,0,4.14E-12,2.18E-06,4.38E-06
5.03E-05,26161.22727,0.228231851,0.162049033,0.145738328,0,0,0,0,0,6.90E-13,1.16E-06,2.71E-06
5.03E-05,25438.69975,0.223710302,0.209608571,0.152529361,0,0,0,0,0,2.23E-12,1.70E-06,5.00E-06
5.13E-05,24345.56986,0.234481855,0.257659711,0.166854502,0,0,0,0,0,2.19E-12,1.04E-06,3.95E-06
5.09E-05,23271.07896,0.258677931,0.26167875,0.187037477,0,0,0,0,0,3.48E-12,1.20E-06,4.40E-06
5.13E-05,22213.13446,0.267219034,0.267895597,0.211447869,0,0,0,0,0,3.87E-12,1.10E-06,3.77E-06
5.15E-05,21173.33817,0.236218491,0.282514399,0.238820713,0,0,0,0,0,2.93E-12,1.06E-06,3.89E-06
5.29E-05,20160.43021,0.217262174,0.304332464,0.268268129,0,0,0,0,0,3.27E-12,9.51E-07,2.40E-06
