orig_index,protocol_id,run_id,config_hash,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,cluster
39,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,6693.7417,2522.0806,-696.41077,1183.6969,3145.0981,-960.4851,863.19604,736.5751,-4.339508,-985.0865,3
40,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,7213.038,2717.736,-750.43604,1275.5278,3389.0913,-1034.9985,930.16113,793.7168,-4.6789246,-1061.5123,3
41,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,7743.187,2917.4797,-805.5906,1369.2775,3638.1836,-1111.0691,998.525,852.05237,-5.0252075,-1139.5352,3
42,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,8282.509,3120.6802,-861.6989,1464.6493,3891.586,-1188.4553,1068.0721,911.3977,-5.3775024,-1218.9078,1
43,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,8829.373,3326.7222,-918.5923,1561.3552,4148.532,-1266.9241,1138.5916,971.5724,-5.7348022,-1299.3906,1
44,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,9382.046,3534.9531,-976.08997,1659.0875,4408.2065,-1346.2261,1209.8601,1032.3865,-6.0959473,-1380.7283,1
45,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,9939.708,3745.0637,-1034.1064,1757.7026,4670.2266,-1426.2444,1281.7722,1093.7494,-6.4605103,-1462.8,1
46,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,10502.12,3956.9614,-1092.6173,1857.1584,4934.4766,-1506.9441,1354.2993,1155.6367,-6.8273926,-1545.5701,1
47,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,11068.418,4170.323,-1151.533,1957.3008,5200.5547,-1588.2021,1427.3259,1217.9504,-7.1972046,-1628.9132,1
48,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,11638.09,4384.958,-1210.7991,2058.0405,5468.217,-1669.9441,1500.7869,1280.6353,-7.569519,-1712.7524,1
49,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,12210.66,4600.6855,-1270.3672,2159.2925,5737.2417,-1752.102,1574.6221,1343.6394,-7.9436646,-1797.0192,1
50,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,12785.597,4817.304,-1330.1809,2260.9624,6007.3765,-1834.5989,1648.7615,1406.9031,-8.319275,-1881.6333,1
51,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,13362.248,5034.569,-1390.1729,2362.9355,6278.3184,-1917.3416,1723.1223,1470.3557,-8.695557,-1966.4995,1
52,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,13940.869,5252.576,-1450.3702,2465.257,6550.1855,-2000.3674,1797.737,1534.0254,-9.073975,-2051.6558,1
53,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,14521.229,5471.2373,-1510.7483,2567.8862,6822.869,-2083.6428,1872.5764,1597.886,-9.453247,-2137.0688,2
54,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,15103.119,5690.4756,-1571.2859,2670.786,7096.272,-2167.1382,1947.6128,1661.9154,-9.833252,-2222.7065,2
55,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,15686.374,5910.2285,-1631.9645,2773.927,7370.3164,-2250.8286,2022.8253,1726.0947,-10.2146,-2308.5452,2
56,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,16270.846,6130.4404,-1692.7712,2877.2827,7644.9326,-2334.6938,2098.1946,1790.408,-10.596313,-2394.563,2
57,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,16856.406,6351.062,-1753.6897,2980.8315,7920.0615,-2418.715,2173.704,1854.8412,-10.97876,-2480.7407,2
58,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,17442.947,6572.0522,-1814.7107,3084.5535,8195.648,-2502.877,2249.34,1919.3816,-11.362671,-2567.0625,2
59,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,18030.447,6793.4014,-1875.8312,3188.446,8471.687,-2587.176,2325.1025,1984.029,-11.745605,-2653.5254,2
60,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,18618.688,7015.0317,-1937.03,3292.469,8748.073,-2671.5825,2400.958,2048.7578,-12.130371,-2740.0977,2
61,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,19207.652,7236.9355,-1998.3035,3396.6199,9024.8,-2756.0938,2476.9077,2113.566,-12.515015,-2826.7766,2
62,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,19797.273,7459.086,-2059.6448,3500.887,9301.837,-2840.6978,2552.941,2178.446,-12.899902,-2913.5532,2
63,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,20331.432,7660.342,-2115.2163,3595.346,9552.813,-2917.3442,2621.8223,2237.2227,-13.248901,-2992.165,2
64,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,20841.023,7852.34,-2168.2324,3685.4604,9792.246,-2990.4639,2687.5352,2293.296,-13.581787,-3067.1619,2
65,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,21355.309,8046.1084,-2221.736,3776.4045,10033.885,-3064.2578,2753.8535,2349.8862,-13.918091,-3142.85,2
66,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,21873.96,8241.522,-2275.6948,3868.122,10277.575,-3138.679,2820.7354,2406.9573,-14.257202,-3219.182,2
67,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,22396.682,8438.466,-2330.076,3960.5574,10523.178,-3213.6836,2888.1418,2464.475,-14.598267,-3296.1106,2
68,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,22923.188,8636.837,-2384.8516,4053.6633,10770.557,-3289.2317,2956.0361,2522.4102,-14.942627,-3373.5974,2
69,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,23453.219,8836.537,-2439.9932,4147.3926,11019.595,-3365.2847,3024.3853,2580.7324,-15.2890625,-3451.603,2
70,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,12783.082,4816.3584,-1329.9183,2260.5166,6006.195,-1834.2368,1648.4353,1406.6254,-8.317993,-1881.2634,1
71,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,12274.239,4624.643,-1276.9805,2170.534,5767.1133,-1761.2234,1582.8181,1350.6335,-7.9855347,-1806.3757,1
72,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,11773.511,4435.985,-1224.887,2081.9866,5531.8447,-1689.3738,1518.2471,1295.5347,-7.658203,-1732.6829,1
73,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,11279.216,4249.75,-1173.4626,1994.5764,5299.5986,-1618.4475,1454.5054,1241.1443,-7.335327,-1659.9368,1
74,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,10794.842,4067.25,-1123.0693,1908.921,5072.012,-1548.9446,1392.0452,1187.8458,-7.019104,-1588.6501,1
75,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,10322.244,3889.19,-1073.9026,1825.3489,4849.961,-1481.1326,1331.1025,1135.8428,-6.710022,-1519.097,1
76,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,9862.894,3716.12,-1026.1139,1744.1189,4634.134,-1415.2214,1271.8683,1085.2977,-6.409973,-1451.4943,1
77,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,9419.063,3548.8977,-979.9401,1665.6338,4425.5986,-1351.5372,1214.6353,1036.4604,-6.119995,-1386.1753,1
78,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,8993.22,3388.4524,-935.6374,1590.329,4225.5146,-1290.434,1159.722,989.6023,-5.841675,-1323.5033,1
79,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,8587.316,3235.52,-893.4093,1518.5508,4034.7998,-1232.1915,1107.3795,944.9384,-5.576477,-1263.7661,1
