original_index,followers,revenue,yearsjoined,rating,goodreview,mediumreview,badreview,fused_1,fused_2,fused_3,fused_4,fused_5,artifact_cluster,reclustered_cluster_raw,reclustered_cluster_aligned
564,-0.07472398837,-0.05492503716,-1.21126606,0.08500033596,0.1094062936,-0.7247974588,0.08434643542,-0.13609096,-0.10398868,0.037228793,0.0705166,-0.4540194,2,1,2
565,-0.0330999285,-0.05423379663,-0.004305840521,0.5461261957,0.570329017,1.385489775,-0.305318892,-0.09443934,-0.20631742,-0.0031642765,0.15823549,-0.41658926,0,3,0
566,-0.01200827436,-0.05030382215,0.5991742694,0.4266511351,0.5219242125,0.7712118227,1.563993081,-0.10337899,-0.15380117,0.0043106973,0.13869673,-0.37067795,0,3,0
567,-0.04444468186,-0.03650321349,-0.004305840521,0.5954948319,0.7169002322,0.2341099299,0.5339759177,-0.08839597,-0.109791696,0.0487592,0.08847982,-0.38965037,0,3,0
568,-0.07352559893,-0.05205039481,1.202654379,0.3125690381,0.2686469667,-0.7247974588,-0.0812688812,-0.09099631,-0.115338966,0.028027147,0.098687395,-0.41494995,0,3,0
569,0.1240488733,-0.02395206248,-0.6077859505,0.6700282725,0.6827840535,0.4765956494,0.3212244272,-0.16812362,-0.06967336,0.07372874,0.085349485,-0.4829434,2,1,2
570,-0.06793311488,-0.0528147555,-0.004305840521,0.5577793076,0.691681301,-0.3766376254,-0.2098094479,-0.09799574,-0.13668796,0.022755317,0.078761294,-0.38898483,0,3,0
571,-0.04676156811,-0.05086629894,-0.004305840521,0.4866320535,0.5939965818,1.125261141,0.7708915587,-0.11198476,-0.1707631,0.00057411194,0.13052464,-0.3700131,0,3,0
572,-0.07568269992,-0.05493183904,-0.6077859505,-3.055399464,0.3070516901,-0.7247974588,0.183694281,-0.016390726,-0.13751385,-0.06652589,0.107186735,-0.459402,0,3,0
573,0.06812403283,-0.02144365858,1.202654379,0.52236539,0.4882029713,1.550145598,0.9614964341,-0.15278955,-0.19271289,-0.046084195,0.16867948,-0.3259304,3,0,3
574,-0.03022379385,-0.05421339101,-0.004305840521,0.6230544884,0.494662478,-0.7247974588,-0.0828402526,-0.114320666,-0.12492743,0.026660386,0.07615504,-0.43377888,0,3,0
575,-0.07568269992,-0.05493183904,-0.6077859505,-0.6024661303,-2.303363299,-0.7247974588,-0.7072697442,-0.24693389,-0.28001046,0.024509653,-0.080570504,-0.6764512,1,2,1
