job_index,strategy,n_bins,min_support,trial_index,stage,silhouette_score,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message,is_best
6,uniform,3,0.7,37,refine,0.4649244248867035,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 183, 995, 191, 273]",0.1,0.2,5.0,ok,,False
6,uniform,3,0.7,38,refine,0.46590152382850647,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 186, 973, 191, 292]",0.1,0.3,5.0,ok,,True
6,uniform,3,0.7,39,refine,0.4601481854915619,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[159, 188, 937, 208, 307]",0.2,0.1,5.0,ok,,False
6,uniform,3,0.7,40,refine,0.46186721324920654,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[159, 188, 941, 197, 314]",0.2,0.3,5.0,ok,,False
6,uniform,3,0.7,41,refine,0.4509531259536743,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[160, 190, 904, 209, 336]",0.3,0.1,5.0,ok,,False
6,uniform,3,0.7,42,refine,0.4480419158935547,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[160, 201, 894, 209, 335]",0.3,0.2,5.0,ok,,False
6,uniform,3,0.7,43,refine,0.4463617205619812,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 201, 891, 209, 337]",0.3,0.3,5.0,ok,,False
7,uniform,3,0.65,0,coarse,0.4843705892562866,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[156, 193, 894, 353, 203]",0.2,0.2,2.0,ok,,False
7,uniform,3,0.65,1,coarse,0.490443617105484,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[156, 188, 902, 353, 200]",0.2,0.2,3.0,ok,,False
7,uniform,3,0.65,2,coarse,0.4925895929336548,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[156, 190, 906, 351, 196]",0.2,0.2,4.0,ok,,False
7,uniform,3,0.65,3,coarse,0.4932817816734314,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[157, 190, 907, 349, 196]",0.2,0.2,5.0,ok,,False
7,uniform,3,0.65,4,coarse,0.47973909974098206,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[157, 196, 871, 360, 215]",0.2,0.5,2.0,ok,,False
