orig_index,h_0,h_1,h_2,h_3,h_4,cluster
129,-0.008163571,-0.18813229,-0.21315505,0.08288891,0.14184381,3
130,-0.075753406,-0.224502,-0.17454301,0.058876283,0.113862395,3
131,-0.00694561,-0.19981658,-0.18198833,0.059417844,0.13165139,3
132,0.054698408,-0.1632961,-0.323458,0.10877991,0.16843367,0
133,-0.027307466,-0.20645222,-0.18237711,0.058459,0.11062609,3
134,-0.016416952,-0.20896523,-0.14562337,0.07710573,0.13966297,3
135,0.0013253987,-0.16092984,-0.26603994,0.073922746,0.1739255,3
136,0.0004388392,-0.13600093,-0.18676157,0.06044595,0.12525156,3
137,-0.02857142,-0.18623814,-0.16945842,0.078413695,0.154814,3
138,-0.004056558,-0.1872612,-0.175546,0.071703464,0.15029676,3
139,-0.07829943,-0.24655783,-0.27638495,0.033739045,0.186134,3
140,-0.29882583,-0.29580125,-0.24891776,-0.05662729,0.1618552,4
141,-0.041594453,-0.17790806,-0.1729252,0.094325766,0.093396895,3
142,-0.88421786,-0.4093642,-0.42604643,-0.3123448,-0.1697763,2
143,0.06141863,-0.11994865,-0.33648762,0.14382303,0.11290596,0
144,0.036618438,-0.10618051,-0.27597153,0.1057007,0.17668004,0
145,0.0438004,-0.17243472,-0.35783923,0.12574756,0.17967744,0
146,-0.008994058,-0.21931502,-0.20555237,0.06083942,0.10365993,3
147,-0.18194863,-0.20830251,-0.21542859,-0.021074492,0.12490449,4
148,-0.023999294,-0.18589085,-0.18243444,0.08996082,0.11711949,3
149,-0.08366809,-0.23870564,-0.21509601,0.029756611,0.13352957,3
150,-0.2226051,-0.24823724,-0.21127957,-0.017221773,0.16544357,4
151,-0.034207776,-0.18492547,-0.14134257,0.06925418,0.14291546,3
152,-0.03973016,-0.18727705,-0.15315959,0.06105639,0.13997728,3
153,0.07200609,-0.12717281,-0.43422642,0.15999243,0.19631332,0
154,0.047668636,-0.15594387,-0.3085199,0.06335181,0.19688167,0
155,0.06567241,-0.16684541,-0.31253317,0.116360605,0.1616828,0
156,-0.25233728,-0.31013823,-0.22778156,-0.037955254,0.14456595,4
157,0.06533778,-0.17065343,-0.3453869,0.13458797,0.15825124,0
158,-0.09973457,-0.22917631,-0.20774189,0.008138912,0.11782141,3
159,-0.09127715,-0.13503847,-0.17772321,0.006884329,0.042668857,3
160,0.06438764,-0.14641231,-0.343985,0.12476471,0.19564965,0
161,-0.6807354,-0.41396174,-0.3024814,-0.23799813,-0.08285348,1
162,-0.02001439,-0.19661605,-0.16030295,0.08316757,0.1423382,3
163,-0.28190824,-0.27001292,-0.23254408,-0.06417984,0.12557599,4
164,-0.35323074,-0.28004774,-0.19027685,-0.078564845,0.023944981,4
165,0.078985184,-0.081448376,-0.44150466,0.16016279,0.17561209,0
166,-0.274172,-0.3095105,-0.22670537,-0.049861334,0.13933209,4
167,-0.11201121,-0.23380765,-0.19115749,0.025698557,0.15254346,3
168,-0.03843619,-0.15103725,-0.15705696,0.056983724,0.13430841,3
169,0.059965968,-0.13802852,-0.35195422,0.12172282,0.15544929,0
