job_index,group_index,strategy,n_bins,min_support,silhouette_score,n_itemsets,selected_features,init,final_score,best_observed_score
110,5,quantile,7,0.25,0.4068583846092224,0,,,0.4068583846092224,-inf
111,5,quantile,7,0.2,0.4068583846092224,0,,,0.4068583846092224,-inf
112,5,quantile,7,0.15,0.4068583846092224,0,,,0.4068583846092224,-inf
113,5,quantile,7,0.1,0.3910904824733734,70,,,0.4068583846092224,0.3910904824733734
114,6,kmeans,3,1.0,0.4068583846092224,0,,,0.4068583846092224,-inf
115,6,kmeans,3,0.95,0.4068583846092224,0,,,0.4068583846092224,-inf
116,6,kmeans,3,0.9,0.4068583846092224,0,,,0.4068583846092224,-inf
117,6,kmeans,3,0.85,0.4068583846092224,0,,,0.4068583846092224,-inf
118,6,kmeans,3,0.8,0.4068583846092224,0,,,0.4068583846092224,-inf
119,6,kmeans,3,0.75,0.4068583846092224,0,,,0.4068583846092224,-inf
120,6,kmeans,3,0.7,0.4068583846092224,0,,,0.4068583846092224,-inf
121,6,kmeans,3,0.65,0.4133967459201813,1,latent3_low,huang,0.4133967459201813,0.4133967459201813
122,6,kmeans,3,0.6,0.4793320894241333,4,"latent3_low, latent4_high, mediumreview_low, rating_high",huang,0.4793320894241333,0.4793320894241333
123,6,kmeans,3,0.55,0.393547773361206,4,,,0.4068583846092224,0.393547773361206
124,6,kmeans,3,0.5,0.4026696979999542,8,,,0.4068583846092224,0.4026696979999542
125,6,kmeans,3,0.45,0.457764208316803,8,"mediumreview_low+latent3_low, mediumreview_low+latent4_high+goodreview_low, rating_high+latent3_low",huang,0.457764208316803,0.457764208316803
126,6,kmeans,3,0.4,0.5072091817855835,12,"mediumreview_low+latent4_high+latent3_low+goodreview_low, latent4_high+rating_high, mediumreview_low+rating_high, rating_high+latent3_low",huang,0.5072091817855835,0.5072091817855835
127,6,kmeans,3,0.35,0.5090616941452026,21,"mediumreview_low+latent4_high+latent3_low+goodreview_low, mediumreview_low+latent4_high+rating_high+goodreview_low, mediumreview_low+rating_high+latent3_low+goodreview_low, mediumreview_low+latent4_high+rating_high+latent3_low",huang,0.5090616941452026,0.5090616941452026
128,6,kmeans,3,0.3,0.4688465595245361,28,"mediumreview_low+latent3_low+latent4_high+rating_high+goodreview_low, mediumreview_low+rating_high+latent3_low+followers_medium, goodreview_medium",huang,0.4688465595245361,0.4688465595245361
129,6,kmeans,3,0.25,0.5114849209785461,41,"rating_medium, latent4_medium, mediumreview_low+latent3_low+followers_medium+latent4_high+rating_high+goodreview_low, badreview_medium+mediumreview_low+latent3_low+latent4_high+rating_high+goodreview_low",huang,0.5114849209785461,0.5114849209785461
