orig_index,h_0,h_1,h_2,h_3,h_4,cluster
122,-0.26482773,-0.06787175,0.26646614,0.10813584,-0.030021057,0
123,-0.082684785,-0.046503216,0.28319916,0.17089927,-0.09850419,2
124,-0.25301886,-0.070777655,0.2525382,0.07983561,-0.025472172,0
125,-0.21972427,-0.06308718,0.363133,0.009587854,-0.071861714,0
126,-0.22106105,-0.103927895,0.311418,0.004154049,-0.05272736,0
127,0.26863688,0.115787,0.47489625,0.035378262,0.4785957,1
128,-0.3017728,-0.059223793,0.18634339,0.052847244,0.020533822,0
129,-0.22226587,0.0062024817,0.34820062,0.025809519,-0.08386777,0
130,-0.20817073,-0.0030621327,0.37061512,-0.0240058,-0.1015048,3
131,-0.2310209,-0.099430695,0.27148134,0.004037168,-0.035989564,0
132,-0.2749202,-0.01074072,0.36575544,-0.020901501,-0.07259287,3
133,-0.12636217,-0.019834176,0.25994346,0.13255319,-0.0838574,2
134,-0.2969231,-0.10017481,0.24548987,0.028733905,0.0025053993,0
135,-0.25695407,-0.028145246,0.297921,0.0013624318,-0.059212316,0
136,-0.305062,-0.07961002,0.19406521,0.028644267,-0.010567814,0
137,-0.28688684,-0.0995947,0.3027975,-0.0038809031,-0.074391276,0
138,-0.31660685,-0.103152394,0.22634408,0.05964053,0.003653422,0
139,-0.2888059,0.112518534,0.5480686,-0.08530496,-0.18771163,3
140,-0.085121945,-0.052394822,0.29562974,0.14909096,-0.10420184,2
141,-0.26930803,-0.08151597,0.2374181,0.032942653,-0.039340124,0
142,0.26023358,0.110381514,0.47249424,-0.07926002,0.54747266,1
143,-0.3063336,0.12816936,0.46883565,-0.08002514,-0.17763972,3
144,-0.32873046,0.021924034,0.4085642,-0.15371364,-0.15215023,3
145,-0.27044344,0.029146537,0.49280027,-0.047539808,-0.16077343,3
146,-0.16720214,0.01808175,0.36893576,0.010443717,-0.1134831,3
147,-0.08144431,0.010621652,0.21087809,0.119665444,-0.08388539,2
148,-0.26319784,-0.10532221,0.2727959,0.04488492,-0.02282206,0
