job_index,strategy,n_bins,min_support,selection_step,candidate_feature,candidate_features,trial_index,stage,silhouette_score,view_weighted_score,n_selected_features,selected_features,cluster_sizes,alpha,mu_param,gamma,beta,status,error_message,is_best
6,uniform,3,0.7,,,,85,coarse,0.4224477708339691,0.4146481454372406,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[163, 202, 823, 246, 365]",0.8,0.5,0.2,3.0,ok,,False
6,uniform,3,0.7,,,,86,coarse,0.4257235825061798,0.4173416495323181,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 203, 823, 242, 367]",0.8,0.5,0.2,4.0,ok,,False
6,uniform,3,0.7,,,,87,coarse,0.4301510751247406,0.4209789037704468,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 202, 835, 238, 360]",0.8,0.5,0.2,5.0,ok,,False
6,uniform,3,0.7,,,,88,coarse,0.39670342206954956,0.39175885915756226,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 207, 793, 253, 380]",0.8,0.5,0.5,2.0,ok,,False
6,uniform,3,0.7,,,,89,coarse,0.41686686873435974,0.40974223613739014,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 203, 809, 251, 371]",0.8,0.5,0.5,3.0,ok,,False
6,uniform,3,0.7,,,,90,coarse,0.42228978872299194,0.4144441783428192,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 203, 815, 250, 367]",0.8,0.5,0.5,4.0,ok,,False
6,uniform,3,0.7,,,,91,coarse,0.4245487153530121,0.41626328229904175,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 203, 817, 248, 366]",0.8,0.5,0.5,5.0,ok,,False
6,uniform,3,0.7,,,,92,coarse,0.3886352777481079,0.38413339853286743,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[170, 206, 773, 265, 385]",0.8,0.5,0.8,2.0,ok,,False
6,uniform,3,0.7,,,,93,coarse,0.41605082154273987,0.4089166522026062,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 203, 808, 255, 368]",0.8,0.5,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,94,coarse,0.42030084133148193,0.4126381576061249,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 203, 811, 252, 368]",0.8,0.5,0.8,4.0,ok,,False
6,uniform,3,0.7,,,,95,coarse,0.4240679144859314,0.41589850187301636,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 203, 816, 250, 366]",0.8,0.5,0.8,5.0,ok,,False
6,uniform,3,0.7,,,,96,coarse,0.4034216105937958,0.3983387351036072,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 206, 778, 260, 389]",0.8,0.8,0.2,2.0,ok,,False
6,uniform,3,0.7,,,,97,coarse,0.4134119749069214,0.407106876373291,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 203, 789, 259, 382]",0.8,0.8,0.2,3.0,ok,,False
6,uniform,3,0.7,,,,98,coarse,0.4164595305919647,0.4096052050590515,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 203, 792, 257, 380]",0.8,0.8,0.2,4.0,ok,,False
6,uniform,3,0.7,,,,99,coarse,0.420945405960083,0.4133889079093933,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 203, 799, 252, 378]",0.8,0.8,0.2,5.0,ok,,False
6,uniform,3,0.7,,,,100,coarse,0.3879351019859314,0.3839226961135864,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 215, 751, 272, 394]",0.8,0.8,0.5,2.0,ok,,False
6,uniform,3,0.7,,,,101,coarse,0.41395387053489685,0.40710410475730896,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 203, 787, 262, 380]",0.8,0.8,0.5,3.0,ok,,False
6,uniform,3,0.7,,,,102,coarse,0.41485315561294556,0.40808430314064026,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 203, 787, 261, 381]",0.8,0.8,0.5,4.0,ok,,False
6,uniform,3,0.7,,,,103,coarse,0.41573917865753174,0.4088894724845886,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 203, 789, 259, 381]",0.8,0.8,0.5,5.0,ok,,False
6,uniform,3,0.7,,,,104,coarse,0.37301450967788696,0.3701963722705841,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[171, 220, 737, 268, 403]",0.8,0.8,0.8,2.0,ok,,False
6,uniform,3,0.7,,,,105,coarse,0.4125002920627594,0.4057134985923767,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 203, 782, 267, 381]",0.8,0.8,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,106,coarse,0.4155760705471039,0.4085542857646942,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 203, 788, 263, 379]",0.8,0.8,0.8,4.0,ok,,False
6,uniform,3,0.7,,,,107,coarse,0.4159211814403534,0.4089522957801819,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 203, 789, 261, 381]",0.8,0.8,0.8,5.0,ok,,False
6,uniform,3,0.7,,,,108,refine,0.5168546438217163,0.7316556572914124,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[223, 219, 945, 111, 301]",0.1,0.7,0.7,3.0,ok,,False
